name,date,dayofweek,round,venue,result,squad,opponent,game_started,bench_explain,position,minutes,shots_on_target_against,goals_against_gk,saves,save_pct,clean_sheets,psxg_gk,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
Aaron Ramsdale,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,2021-08-28,Sat,3,Away,L 0–5,Arsenal,Manchester City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,Y,,GK,90.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,40.0,24.0,4.0,25.0,30.1,6.0,66.7,57.2,5.0,0.0,0.0,1.0,14.7
Aaron Ramsdale,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,,GK,90.0,3.0,0.0,3.0,100.0,1.0,0.6,0.0,0.0,0.0,0.0,8.0,20.0,40.0,40.0,10.0,30.0,32.6,9.0,88.9,71.0,24.0,2.0,8.3,1.0,13.8
Aaron Ramsdale,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y,,GK,90.0,4.0,1.0,2.0,75.0,0.0,1.1,0.0,0.0,0.0,0.0,9.0,23.0,39.1,25.0,2.0,56.0,45.3,10.0,90.0,57.3,9.0,1.0,11.1,0.0,13.5
Aaron Ramsdale,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,Y,,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,4.0,22.0,18.2,22.0,10.0,40.9,35.1,15.0,86.7,63.8,8.0,0.0,0.0,0.0,19.8
Aaron Ramsdale,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y,,GK,90.0,6.0,2.0,4.0,66.7,0.0,1.6,0.0,0.0,0.0,0.0,8.0,14.0,57.1,24.0,5.0,54.2,42.1,3.0,33.3,36.0,4.0,1.0,25.0,1.0,16.8
Aaron Ramsdale,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,Y,,GK,90.0,4.0,1.0,3.0,75.0,0.0,1.3,0.0,0.0,0.0,0.0,8.0,14.0,57.1,23.0,5.0,43.5,35.0,4.0,100.0,69.8,6.0,2.0,33.3,1.0,14.1
Aaron Ramsdale,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,Y,,GK,90.0,8.0,0.0,6.0,100.0,1.0,1.5,0.0,0.0,0.0,0.0,7.0,30.0,23.3,39.0,6.0,64.1,48.3,7.0,71.4,54.6,9.0,0.0,0.0,1.0,14.7
Aaron Ramsdale,2021-11-07,Sun,11,Home,W 1–0,Arsenal,Watford,Y,,GK,90.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,61.5,31.0,4.0,38.7,35.4,5.0,20.0,28.4,10.0,2.0,20.0,0.0,15.4
Aaron Ramsdale,2021-11-20,Sat,12,Away,L 0–4,Arsenal,Liverpool,Y,,GK,90.0,9.0,4.0,5.0,55.6,0.0,4.4,0.0,0.0,0.0,0.0,5.0,14.0,35.7,28.0,3.0,35.7,32.6,7.0,57.1,50.4,8.0,0.0,0.0,0.0,10.2
Aaron Ramsdale,2021-11-27,Sat,13,Home,W 2–0,Arsenal,Newcastle Utd,Y,,GK,90.0,5.0,0.0,4.0,100.0,1.0,0.2,0.0,0.0,0.0,0.0,3.0,6.0,50.0,18.0,4.0,33.3,31.9,1.0,0.0,10.0,9.0,1.0,11.1,0.0,13.0
Bernd Leno,2021-08-13,Fri,1,Away,L 0–2,Arsenal,Brentford,Y,,GK,90.0,3.0,2.0,1.0,33.3,0.0,0.9,0.0,0.0,0.0,0.0,3.0,9.0,33.3,26.0,3.0,19.2,28.8,8.0,50.0,36.5,6.0,0.0,0.0,0.0,5.5
Bernd Leno,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,Y,,GK,90.0,5.0,2.0,2.0,60.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,15.0,5.0,33.3,33.3,7.0,28.6,30.7,8.0,2.0,25.0,1.0,16.4
Bernd Leno,2021-08-28,Sat,3,Away,L 0–5,Arsenal,Manchester City,Y,,GK,90.0,10.0,5.0,5.0,50.0,0.0,4.9,0.0,0.0,0.0,0.0,8.0,23.0,34.8,20.0,3.0,65.0,48.3,11.0,90.9,61.9,16.0,0.0,0.0,0.0,12.8
Bernd Leno,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,2021-11-07,Sun,11,Home,W 1–0,Arsenal,Watford,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,2021-11-20,Sat,12,Away,L 0–4,Arsenal,Liverpool,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,2021-11-27,Sat,13,Home,W 2–0,Arsenal,Newcastle Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,
