name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,bench_explain
Emile Smith-Rowe,2021-08-13,Fri,1,Away,L 0–2,Arsenal,Brentford,Y,AM,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,59.0,11.0,0.0,1.0,0.0,0.1,0.1,0.4,5.0,0.0,48.0,50.0,96.0,12.0,50.0,11.0,2.0,3.0,
Emile Smith-Rowe,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,Y,AM,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,44.0,24.0,0.0,1.0,2.0,0.1,0.1,0.0,0.0,0.0,31.0,34.0,91.2,2.0,32.0,6.0,4.0,5.0,
Emile Smith-Rowe,2021-08-28,Sat,3,Away,L 0–5,Arsenal,Manchester City,Y,"LW,LM",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,19.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,71.4,1.0,19.0,2.0,1.0,3.0,
Emile Smith-Rowe,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,N,AM,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,4.0,0.0,1.0,0.0,0.2,0.2,0.1,5.0,0.0,13.0,13.0,100.0,2.0,12.0,5.0,1.0,1.0,
Emile Smith-Rowe,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,CM,60.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,8.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,31.0,34.0,91.2,0.0,38.0,3.0,0.0,0.0,
Emile Smith-Rowe,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y,LW,87.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,7.0,0.0,0.0,1.0,0.2,0.2,0.1,3.0,2.0,20.0,24.0,83.3,3.0,24.0,3.0,1.0,1.0,
Emile Smith-Rowe,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,Y,"LW,AM",90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,9.0,1.0,1.0,1.0,0.2,0.2,0.0,3.0,0.0,25.0,28.0,89.3,2.0,29.0,8.0,5.0,6.0,
Emile Smith-Rowe,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y,"CM,LW",90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,57.0,11.0,0.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,42.0,46.0,91.3,3.0,44.0,10.0,1.0,2.0,
Emile Smith-Rowe,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,Y,LW,90.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,63.0,8.0,2.0,2.0,1.0,0.1,0.1,0.2,7.0,1.0,47.0,54.0,87.0,3.0,50.0,15.0,2.0,3.0,
Emile Smith-Rowe,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,Y,LM,89.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,12.0,0.0,0.0,2.0,0.2,0.2,0.3,2.0,0.0,21.0,26.0,80.8,1.0,14.0,4.0,2.0,2.0,
Emile Smith-Rowe,2021-11-07,Sun,11,Home,W 1–0,Arsenal,Watford,Y,LM,85.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,44.0,6.0,2.0,0.0,1.0,0.3,0.3,0.0,0.0,0.0,23.0,31.0,74.2,2.0,32.0,5.0,1.0,2.0,
Emile Smith-Rowe,2021-11-20,Sat,12,Away,L 0–4,Arsenal,Liverpool,Y,LM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,85.7,1.0,18.0,2.0,0.0,0.0,
Emile Smith-Rowe,2021-11-27,Sat,13,Home,W 2–0,Arsenal,Newcastle Utd,Y,LM,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,68.0,11.0,3.0,1.0,0.0,0.3,0.3,0.3,8.0,1.0,47.0,55.0,85.5,3.0,44.0,9.0,2.0,3.0,
Bukayo Saka,2021-08-13,Fri,1,Away,L 0–2,Arsenal,Brentford,N,FW,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,18.0,23.0,78.3,2.0,27.0,7.0,2.0,2.0,
Bukayo Saka,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,Y,LW,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,30.0,76.7,2.0,31.0,3.0,0.0,1.0,
Bukayo Saka,2021-08-28,Sat,3,Away,L 0–5,Arsenal,Manchester City,Y,RW,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,7.0,0.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,5.0,7.0,71.4,1.0,10.0,1.0,0.0,0.0,
Bukayo Saka,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,Y,LW,90.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,43.0,14.0,0.0,0.0,1.0,0.3,0.3,0.3,9.0,0.0,26.0,33.0,78.8,3.0,38.0,12.0,2.0,3.0,
Bukayo Saka,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,LM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,12.0,1.0,2.0,4.0,0.1,0.1,0.0,3.0,1.0,25.0,32.0,78.1,2.0,38.0,8.0,1.0,1.0,
Bukayo Saka,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y,RW,86.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,51.0,9.0,3.0,1.0,0.0,0.3,0.3,0.2,4.0,1.0,28.0,35.0,80.0,1.0,38.0,7.0,1.0,4.0,
Bukayo Saka,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,Y,"RW,LW",89.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,17.0,1.0,1.0,0.0,0.1,0.1,0.0,4.0,0.0,29.0,39.0,74.4,1.0,39.0,6.0,3.0,4.0,
Bukayo Saka,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y,LM,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,11.0,15.0,73.3,1.0,19.0,5.0,1.0,1.0,
Bukayo Saka,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,Y,RW,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,56.0,13.0,0.0,1.0,1.0,0.6,0.6,0.4,5.0,0.0,29.0,45.0,64.4,1.0,40.0,8.0,1.0,4.0,
Bukayo Saka,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,Y,RM,84.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,14.0,0.0,1.0,2.0,0.2,0.2,0.2,4.0,1.0,23.0,32.0,71.9,1.0,26.0,8.0,1.0,2.0,
Bukayo Saka,2021-11-07,Sun,11,Home,W 1–0,Arsenal,Watford,Y,RM,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,10.0,2.0,0.0,0.0,0.0,0.0,0.2,6.0,0.0,28.0,33.0,84.8,5.0,38.0,6.0,2.0,3.0,
Bukayo Saka,2021-11-20,Sat,12,Away,L 0–4,Arsenal,Liverpool,Y,RM,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,13.0,0.0,0.0,3.0,0.2,0.2,0.0,1.0,0.0,22.0,28.0,78.6,3.0,29.0,7.0,0.0,1.0,
Bukayo Saka,2021-11-27,Sat,13,Home,W 2–0,Arsenal,Newcastle Utd,Y,RM,63.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,46.0,9.0,0.0,0.0,0.0,0.4,0.4,0.2,4.0,0.0,28.0,39.0,71.8,3.0,39.0,8.0,4.0,6.0,
Ben White,2021-08-13,Fri,1,Away,L 0–2,Arsenal,Brentford,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,56.0,61.0,91.8,4.0,44.0,0.0,0.0,0.0,
Ben White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben White,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,9.0,2.0,1.0,0.0,0.0,0.0,0.1,3.0,0.0,33.0,42.0,78.6,3.0,26.0,2.0,0.0,0.0,
Ben White,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,61.0,86.9,2.0,49.0,0.0,0.0,1.0,
Ben White,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,40.0,95.0,2.0,29.0,0.0,0.0,0.0,
Ben White,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,21.0,27.0,77.8,0.0,22.0,1.0,0.0,0.0,
Ben White,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y,CB,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,66.0,2.0,1.0,3.0,0.0,0.1,0.1,0.0,1.0,0.0,53.0,61.0,86.9,1.0,50.0,3.0,0.0,0.0,
Ben White,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,94.4,1.0,30.0,0.0,0.0,0.0,
Ben White,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,9.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,85.7,1.0,16.0,0.0,0.0,1.0,
Ben White,2021-11-07,Sun,11,Home,W 1–0,Arsenal,Watford,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,65.0,73.0,89.0,2.0,65.0,0.0,1.0,2.0,
Ben White,2021-11-20,Sat,12,Away,L 0–4,Arsenal,Liverpool,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,40.0,72.5,1.0,23.0,1.0,0.0,0.0,
Ben White,2021-11-27,Sat,13,Home,W 2–0,Arsenal,Newcastle Utd,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,71.0,80.0,88.8,9.0,67.0,12.0,1.0,2.0,
Pierre-Emerick Aubameyang,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,N,LW,30.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,3.0,0.0,0.0,0.0,
Pierre-Emerick Aubameyang,2021-08-28,Sat,3,Away,L 0–5,Arsenal,Manchester City,Y*,FW,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,41.7,0.0,7.0,0.0,0.0,1.0,
Pierre-Emerick Aubameyang,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,Y*,FW,90.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,26.0,12.0,0.0,0.0,2.0,1.3,1.3,0.1,6.0,0.0,12.0,16.0,75.0,2.0,15.0,2.0,1.0,1.0,
Pierre-Emerick Aubameyang,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y*,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,10.0,1.0,0.0,1.0,0.1,0.1,0.4,4.0,0.0,21.0,22.0,95.5,2.0,23.0,5.0,0.0,0.0,
Pierre-Emerick Aubameyang,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y*,FW,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,34.0,20.0,3.0,0.0,4.0,0.3,0.3,0.0,1.0,1.0,10.0,13.0,76.9,1.0,12.0,1.0,0.0,1.0,
Pierre-Emerick Aubameyang,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,Y*,FW,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,14.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,6.0,11.0,54.5,1.0,9.0,1.0,0.0,0.0,
Pierre-Emerick Aubameyang,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y*,FW,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,23.0,2.0,0.0,2.0,0.2,0.2,0.1,2.0,0.0,12.0,16.0,75.0,3.0,12.0,0.0,0.0,1.0,
Pierre-Emerick Aubameyang,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,Y*,FW,89.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,30.0,24.0,1.0,0.0,0.0,1.0,0.1,0.1,4.0,2.0,15.0,22.0,68.2,3.0,14.0,8.0,0.0,0.0,
Pierre-Emerick Aubameyang,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,Y*,FW,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,30.0,15.0,2.0,0.0,3.0,0.3,0.3,0.0,2.0,0.0,12.0,19.0,63.2,0.0,16.0,4.0,1.0,1.0,
Pierre-Emerick Aubameyang,2021-11-07,Sun,11,Home,W 1–0,Arsenal,Watford,Y*,FW,90.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,29.0,13.0,1.0,1.0,0.0,0.9,0.1,0.0,1.0,0.0,12.0,19.0,63.2,0.0,18.0,2.0,0.0,0.0,
Pierre-Emerick Aubameyang,2021-11-20,Sat,12,Away,L 0–4,Arsenal,Liverpool,Y*,FW,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,10.0,15.0,66.7,0.0,7.0,3.0,0.0,0.0,
Pierre-Emerick Aubameyang,2021-11-27,Sat,13,Home,W 2–0,Arsenal,Newcastle Utd,Y*,FW,75.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,23.0,16.0,1.0,0.0,2.0,0.7,0.7,0.0,0.0,0.0,12.0,16.0,75.0,0.0,14.0,0.0,0.0,1.0,
Gabriel Dos Santos,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,Y,CB,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,4.0,2.0,0.0,3.0,0.1,0.1,0.0,2.0,0.0,44.0,51.0,86.3,2.0,42.0,3.0,0.0,0.0,
Gabriel Dos Santos,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,50.0,86.0,0.0,42.0,1.0,0.0,0.0,
Gabriel Dos Santos,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y,CB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,6.0,0.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,44.0,47.0,93.6,3.0,39.0,1.0,0.0,0.0,
Gabriel Dos Santos,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,Y,CB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,41.0,92.7,2.0,36.0,1.0,0.0,0.0,
Gabriel Dos Santos,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y,CB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,87.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,73.0,81.0,90.1,4.0,69.0,10.0,1.0,1.0,
Gabriel Dos Santos,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,10.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,42.0,90.5,0.0,33.0,0.0,0.0,0.0,
Gabriel Dos Santos,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,Y,CB,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.0,8.0,0.0,2.0,3.0,0.1,0.1,0.0,0.0,0.0,26.0,31.0,83.9,0.0,20.0,0.0,0.0,0.0,
Gabriel Dos Santos,2021-11-07,Sun,11,Home,W 1–0,Arsenal,Watford,Y,CB,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,81.0,5.0,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,67.0,72.0,93.1,3.0,57.0,5.0,0.0,0.0,
Gabriel Dos Santos,2021-11-20,Sat,12,Away,L 0–4,Arsenal,Liverpool,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,10.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.0,45.0,84.4,1.0,31.0,1.0,1.0,1.0,
Gabriel Dos Santos,2021-11-27,Sat,13,Home,W 2–0,Arsenal,Newcastle Utd,Y,CB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,8.0,2.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,60.0,63.0,95.2,2.0,47.0,11.0,0.0,0.0,
Aaron Ramsdale,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Aaron Ramsdale,2021-08-28,Sat,3,Away,L 0–5,Arsenal,Manchester City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Aaron Ramsdale,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,30.0,80.0,0.0,13.0,0.0,1.0,1.0,
Aaron Ramsdale,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,49.0,71.4,0.0,30.0,0.0,0.0,0.0,
Aaron Ramsdale,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,35.0,60.0,0.0,16.0,0.0,0.0,0.0,
Aaron Ramsdale,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,37.0,48.6,0.0,13.0,0.0,0.0,0.0,
Aaron Ramsdale,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,27.0,77.8,0.0,15.0,0.0,0.0,0.0,
Aaron Ramsdale,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,27.0,74.1,0.0,14.0,0.0,0.0,0.0,
Aaron Ramsdale,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,46.0,43.5,0.0,29.0,0.0,0.0,0.0,
Aaron Ramsdale,2021-11-07,Sun,11,Home,W 1–0,Arsenal,Watford,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,36.0,83.3,0.0,22.0,0.0,0.0,0.0,
Aaron Ramsdale,2021-11-20,Sat,12,Away,L 0–4,Arsenal,Liverpool,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,35.0,74.3,0.0,18.0,0.0,0.0,0.0,
Aaron Ramsdale,2021-11-27,Sat,13,Home,W 2–0,Arsenal,Newcastle Utd,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,84.2,0.0,11.0,0.0,0.0,0.0,
Takehiro Tomiyasu,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,Y,RB,61.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,49.0,18.0,3.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,28.0,38.0,73.7,4.0,16.0,1.0,1.0,1.0,
Takehiro Tomiyasu,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,8.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,54.0,67.0,80.6,3.0,40.0,3.0,0.0,0.0,
Takehiro Tomiyasu,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y,RB,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,43.0,55.0,78.2,3.0,32.0,5.0,0.0,0.0,
Takehiro Tomiyasu,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,9.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,31.0,37.0,83.8,3.0,19.0,0.0,0.0,0.0,
Takehiro Tomiyasu,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,18.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,64.0,76.0,84.2,3.0,50.0,3.0,1.0,1.0,
Takehiro Tomiyasu,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,Y,RB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,11.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,42.0,54.0,77.8,3.0,33.0,5.0,0.0,0.0,
Takehiro Tomiyasu,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,7.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,31.0,40.0,77.5,1.0,20.0,4.0,1.0,2.0,
