name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,bench_explain
Virgil van Dijk,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,CB,90.0,79.0,85.0,92.9,1876.0,649.0,21.0,21.0,100.0,38.0,40.0,95.0,19.0,23.0,82.6,0.0,0.0,1.0,8.0,1.0,0.0,5.0,
Virgil van Dijk,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,CB,90.0,34.0,40.0,85.0,822.0,242.0,9.0,9.0,100.0,17.0,17.0,100.0,7.0,13.0,53.8,0.0,0.0,0.0,2.0,0.0,0.0,1.0,
Virgil van Dijk,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,CB,90.0,68.0,73.0,93.2,1276.0,479.0,27.0,27.0,100.0,36.0,36.0,100.0,4.0,9.0,44.4,0.0,0.0,0.0,12.0,0.0,0.0,4.0,
Virgil van Dijk,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y*,CB,90.0,52.0,56.0,92.9,1117.0,371.0,13.0,13.0,100.0,31.0,31.0,100.0,8.0,12.0,66.7,0.0,0.0,0.0,3.0,0.0,0.0,4.0,
Virgil van Dijk,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,CB,90.0,53.0,57.0,93.0,1222.0,429.0,14.0,15.0,93.3,29.0,30.0,96.7,10.0,11.0,90.9,1.0,0.0,0.0,6.0,0.0,0.0,3.0,
Virgil van Dijk,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,CB,90.0,42.0,45.0,93.3,1046.0,227.0,6.0,6.0,100.0,26.0,27.0,96.3,10.0,11.0,90.9,0.0,0.0,0.0,2.0,0.0,0.0,3.0,
Virgil van Dijk,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,CB,90.0,73.0,81.0,90.1,1715.0,512.0,12.0,12.0,100.0,48.0,49.0,98.0,12.0,19.0,63.2,0.0,0.0,0.0,4.0,0.0,0.0,2.0,
Virgil van Dijk,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,CB,90.0,88.0,94.0,93.6,2052.0,606.0,18.0,18.0,100.0,51.0,53.0,96.2,17.0,21.0,81.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,
Virgil van Dijk,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,CB,90.0,66.0,68.0,97.1,1284.0,431.0,27.0,27.0,100.0,31.0,32.0,96.9,7.0,8.0,87.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
Virgil van Dijk,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,CB,90.0,74.0,79.0,93.7,1817.0,523.0,8.0,10.0,80.0,49.0,49.0,100.0,16.0,19.0,84.2,0.0,0.0,0.0,6.0,0.0,0.0,1.0,
Virgil van Dijk,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,CB,90.0,65.0,70.0,92.9,1226.0,390.0,29.0,29.0,100.0,30.0,31.0,96.8,6.0,10.0,60.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,
Virgil van Dijk,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y*,CB,90.0,92.0,104.0,88.5,2217.0,685.0,23.0,24.0,95.8,48.0,48.0,100.0,21.0,32.0,65.6,0.0,0.0,0.0,3.0,0.0,0.0,1.0,
Virgil van Dijk,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,CB,90.0,63.0,66.0,95.5,1437.0,519.0,13.0,15.0,86.7,34.0,34.0,100.0,15.0,16.0,93.8,0.0,0.0,1.0,1.0,0.0,0.0,1.0,
Virgil van Dijk,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,CB,90.0,60.0,68.0,88.2,1229.0,541.0,19.0,21.0,90.5,29.0,32.0,90.6,12.0,15.0,80.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,
Mohamed Salah,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,RW,90.0,18.0,24.0,75.0,260.0,93.0,10.0,12.0,83.3,8.0,9.0,88.9,0.0,1.0,0.0,2.0,1.2,3.0,0.0,1.0,0.0,3.0,
Mohamed Salah,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,RW,90.0,26.0,31.0,83.9,341.0,82.0,15.0,16.0,93.8,9.0,10.0,90.0,1.0,3.0,33.3,0.0,0.1,2.0,0.0,3.0,0.0,5.0,
Mohamed Salah,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,RW,90.0,35.0,43.0,81.4,502.0,144.0,23.0,25.0,92.0,10.0,11.0,90.9,2.0,6.0,33.3,0.0,0.3,3.0,0.0,3.0,1.0,3.0,
Mohamed Salah,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,RW,90.0,26.0,33.0,78.8,362.0,192.0,15.0,16.0,93.8,9.0,11.0,81.8,1.0,2.0,50.0,0.0,0.5,4.0,2.0,3.0,0.0,7.0,
Mohamed Salah,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,RW,90.0,32.0,41.0,78.0,458.0,96.0,20.0,23.0,87.0,8.0,10.0,80.0,2.0,6.0,33.3,0.0,0.0,1.0,0.0,3.0,1.0,5.0,
Mohamed Salah,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,"RW,FW",90.0,24.0,37.0,64.9,417.0,68.0,13.0,17.0,76.5,9.0,15.0,60.0,2.0,4.0,50.0,0.0,0.1,1.0,0.0,1.0,0.0,2.0,
Mohamed Salah,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,RW,90.0,18.0,23.0,78.3,256.0,147.0,11.0,12.0,91.7,5.0,7.0,71.4,1.0,1.0,100.0,1.0,0.7,2.0,1.0,6.0,1.0,6.0,
Mohamed Salah,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,RW,90.0,42.0,50.0,84.0,652.0,204.0,25.0,27.0,92.6,14.0,18.0,77.8,3.0,3.0,100.0,1.0,0.4,2.0,4.0,0.0,0.0,7.0,
Mohamed Salah,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,RW,90.0,45.0,49.0,91.8,604.0,141.0,32.0,32.0,100.0,12.0,14.0,85.7,1.0,1.0,100.0,1.0,0.8,2.0,3.0,1.0,0.0,4.0,
Mohamed Salah,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,"RW,FW",90.0,21.0,30.0,70.0,302.0,79.0,12.0,16.0,75.0,8.0,9.0,88.9,1.0,4.0,25.0,1.0,0.5,2.0,0.0,1.0,0.0,3.0,
Mohamed Salah,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,RW,90.0,25.0,30.0,83.3,318.0,76.0,16.0,18.0,88.9,7.0,9.0,77.8,0.0,0.0,,1.0,0.1,1.0,0.0,2.0,0.0,4.0,
Mohamed Salah,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,RW,90.0,26.0,32.0,81.3,285.0,89.0,21.0,25.0,84.0,4.0,6.0,66.7,0.0,0.0,,0.0,0.4,2.0,1.0,0.0,0.0,2.0,
Mohamed Salah,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,RW,90.0,21.0,30.0,70.0,241.0,93.0,15.0,20.0,75.0,5.0,5.0,100.0,0.0,3.0,0.0,1.0,0.8,2.0,1.0,2.0,0.0,5.0,
Mohamed Salah,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,RW,90.0,31.0,39.0,79.5,481.0,127.0,20.0,26.0,76.9,10.0,10.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,
Sadio Mané,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,LW,90.0,19.0,31.0,61.3,291.0,75.0,13.0,15.0,86.7,4.0,10.0,40.0,2.0,4.0,50.0,0.0,0.2,3.0,2.0,3.0,1.0,3.0,
Sadio Mané,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,LW,90.0,16.0,23.0,69.6,264.0,68.0,10.0,15.0,66.7,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.2,2.0,1.0,2.0,0.0,4.0,
Sadio Mané,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,LW,90.0,27.0,42.0,64.3,369.0,63.0,19.0,23.0,82.6,4.0,7.0,57.1,2.0,6.0,33.3,0.0,0.0,0.0,2.0,1.0,0.0,3.0,
Sadio Mané,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,LW,90.0,26.0,31.0,83.9,433.0,95.0,13.0,15.0,86.7,10.0,13.0,76.9,2.0,2.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,
Sadio Mané,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,"LW,FW",90.0,14.0,23.0,60.9,206.0,59.0,11.0,15.0,73.3,1.0,2.0,50.0,2.0,4.0,50.0,0.0,0.1,1.0,1.0,3.0,1.0,3.0,
Sadio Mané,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,"LW,LM",90.0,29.0,39.0,74.4,560.0,88.0,16.0,17.0,94.1,6.0,12.0,50.0,7.0,9.0,77.8,0.0,0.5,2.0,3.0,3.0,0.0,4.0,
Sadio Mané,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,LW,90.0,8.0,13.0,61.5,139.0,17.0,5.0,5.0,100.0,2.0,7.0,28.6,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,LW,90.0,24.0,36.0,66.7,378.0,77.0,13.0,19.0,68.4,8.0,11.0,72.7,3.0,3.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,
Sadio Mané,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,N,FW,14.0,6.0,7.0,85.7,74.0,19.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Sadio Mané,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,"LW,RW",90.0,26.0,37.0,70.3,378.0,102.0,12.0,13.0,92.3,13.0,20.0,65.0,0.0,1.0,0.0,0.0,0.1,1.0,3.0,0.0,0.0,3.0,
Sadio Mané,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,LW,90.0,33.0,45.0,73.3,474.0,110.0,19.0,21.0,90.5,12.0,15.0,80.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,0.0,3.0,
Sadio Mané,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,LW,90.0,24.0,31.0,77.4,337.0,51.0,15.0,18.0,83.3,8.0,10.0,80.0,1.0,2.0,50.0,1.0,0.8,2.0,1.0,2.0,0.0,2.0,
Sadio Mané,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,LW,90.0,29.0,40.0,72.5,382.0,86.0,17.0,19.0,89.5,6.0,13.0,46.2,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,
Sadio Mané,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,LW,90.0,26.0,33.0,78.8,373.0,40.0,17.0,19.0,89.5,7.0,11.0,63.6,2.0,2.0,100.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,
Alisson,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,GK,90.0,27.0,30.0,90.0,861.0,569.0,2.0,2.0,100.0,15.0,15.0,100.0,10.0,13.0,76.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,GK,90.0,38.0,46.0,82.6,984.0,550.0,8.0,8.0,100.0,22.0,22.0,100.0,8.0,16.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,GK,90.0,21.0,23.0,91.3,419.0,218.0,8.0,8.0,100.0,9.0,9.0,100.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,GK,90.0,37.0,41.0,90.2,1077.0,721.0,4.0,4.0,100.0,21.0,21.0,100.0,12.0,16.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Alisson,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,GK,90.0,22.0,28.0,78.6,695.0,443.0,4.0,4.0,100.0,9.0,9.0,100.0,9.0,15.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Alisson,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,GK,90.0,25.0,30.0,83.3,923.0,495.0,2.0,2.0,100.0,8.0,9.0,88.9,15.0,19.0,78.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Alisson,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,GK,90.0,48.0,54.0,88.9,1174.0,575.0,9.0,9.0,100.0,29.0,29.0,100.0,9.0,15.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Alisson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,GK,90.0,25.0,30.0,83.3,742.0,472.0,4.0,4.0,100.0,13.0,13.0,100.0,8.0,13.0,61.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,GK,90.0,33.0,38.0,86.8,875.0,493.0,5.0,5.0,100.0,17.0,18.0,94.4,11.0,15.0,73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,GK,90.0,25.0,26.0,96.2,599.0,324.0,3.0,3.0,100.0,17.0,17.0,100.0,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,GK,90.0,68.0,71.0,95.8,1428.0,582.0,21.0,21.0,100.0,40.0,40.0,100.0,7.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,GK,90.0,43.0,47.0,91.5,1061.0,528.0,8.0,8.0,100.0,26.0,26.0,100.0,9.0,13.0,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,GK,90.0,37.0,41.0,90.2,856.0,303.0,4.0,4.0,100.0,28.0,28.0,100.0,5.0,9.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,RB,90.0,44.0,58.0,75.9,954.0,442.0,17.0,17.0,100.0,13.0,18.0,72.2,14.0,22.0,63.6,0.0,0.2,3.0,4.0,4.0,2.0,6.0,
Trent Alexander-Arnold,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,RB,90.0,64.0,82.0,78.0,1289.0,641.0,27.0,32.0,84.4,25.0,27.0,92.6,11.0,22.0,50.0,1.0,1.2,7.0,4.0,6.0,1.0,10.0,
Trent Alexander-Arnold,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,RB,90.0,77.0,98.0,78.6,1446.0,563.0,36.0,40.0,90.0,29.0,35.0,82.9,11.0,21.0,52.4,0.0,0.4,5.0,9.0,1.0,0.0,10.0,
Trent Alexander-Arnold,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,RB,90.0,45.0,63.0,71.4,1104.0,399.0,15.0,19.0,78.9,19.0,22.0,86.4,11.0,22.0,50.0,1.0,0.6,4.0,4.0,0.0,0.0,4.0,
Trent Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,RB,90.0,71.0,100.0,71.0,1728.0,716.0,23.0,25.0,92.0,24.0,28.0,85.7,22.0,43.0,51.2,0.0,0.0,1.0,13.0,6.0,1.0,13.0,
Trent Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,RB,64.0,68.0,82.0,82.9,1551.0,546.0,24.0,24.0,100.0,29.0,34.0,85.3,15.0,23.0,65.2,0.0,0.0,2.0,8.0,2.0,0.0,16.0,
Trent Alexander-Arnold,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,RB,90.0,88.0,106.0,83.0,1538.0,595.0,50.0,54.0,92.6,25.0,30.0,83.3,12.0,19.0,63.2,1.0,0.9,3.0,6.0,1.0,0.0,6.0,
Trent Alexander-Arnold,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,RB,90.0,77.0,98.0,78.6,1665.0,643.0,27.0,30.0,90.0,36.0,41.0,87.8,14.0,23.0,60.9,0.0,0.0,1.0,5.0,1.0,0.0,9.0,
Trent Alexander-Arnold,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,RB,90.0,58.0,81.0,71.6,1236.0,577.0,21.0,27.0,77.8,24.0,32.0,75.0,12.0,21.0,57.1,1.0,0.4,3.0,7.0,3.0,1.0,7.0,
Trent Alexander-Arnold,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,RB,90.0,53.0,64.0,82.8,1211.0,295.0,17.0,18.0,94.4,22.0,24.0,91.7,14.0,22.0,63.6,2.0,1.0,4.0,5.0,1.0,1.0,3.0,
Trent Alexander-Arnold,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,RB,90.0,67.0,95.0,70.5,1328.0,479.0,33.0,37.0,89.2,22.0,28.0,78.6,10.0,24.0,41.7,1.0,0.1,2.0,5.0,0.0,0.0,4.0,
Trent Alexander-Arnold,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,RB,90.0,68.0,84.0,81.0,1504.0,663.0,20.0,22.0,90.9,30.0,34.0,88.2,17.0,26.0,65.4,0.0,0.3,2.0,4.0,2.0,0.0,9.0,
Jordan Henderson,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y*,DM,90.0,60.0,70.0,85.7,1220.0,358.0,24.0,25.0,96.0,24.0,30.0,80.0,11.0,14.0,78.6,0.0,0.0,1.0,9.0,1.0,0.0,7.0,
Jordan Henderson,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y*,CM,73.0,72.0,83.0,86.7,1319.0,302.0,34.0,36.0,94.4,32.0,34.0,94.1,6.0,10.0,60.0,0.0,0.0,0.0,9.0,1.0,0.0,6.0,
Jordan Henderson,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,N,CM,28.0,21.0,24.0,87.5,468.0,136.0,7.0,8.0,87.5,8.0,8.0,100.0,6.0,7.0,85.7,0.0,0.1,1.0,2.0,1.0,0.0,1.0,
Jordan Henderson,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y*,CM,87.0,41.0,52.0,78.8,798.0,233.0,12.0,15.0,80.0,23.0,27.0,85.2,4.0,5.0,80.0,0.0,0.4,4.0,7.0,3.0,2.0,3.0,
Jordan Henderson,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y*,"CM,DM",90.0,47.0,56.0,83.9,909.0,207.0,20.0,21.0,95.2,19.0,21.0,90.5,8.0,12.0,66.7,1.0,0.5,3.0,4.0,3.0,2.0,2.0,
Jordan Henderson,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y*,CM,90.0,31.0,44.0,70.5,569.0,153.0,15.0,19.0,78.9,10.0,13.0,76.9,5.0,9.0,55.6,0.0,0.0,0.0,5.0,0.0,0.0,3.0,
Jordan Henderson,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y*,DM,90.0,105.0,117.0,89.7,2224.0,405.0,28.0,30.0,93.3,56.0,61.0,91.8,18.0,22.0,81.8,0.0,0.0,0.0,5.0,0.0,0.0,8.0,
Jordan Henderson,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y*,DM,90.0,126.0,131.0,96.2,2505.0,445.0,48.0,49.0,98.0,55.0,58.0,94.8,23.0,24.0,95.8,1.0,0.4,3.0,9.0,0.0,0.0,6.0,
Jordan Henderson,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y*,DM,90.0,55.0,64.0,85.9,1168.0,224.0,22.0,24.0,91.7,20.0,22.0,90.9,13.0,17.0,76.5,0.0,0.0,1.0,7.0,1.0,0.0,2.0,
Jordan Henderson,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y*,CM,90.0,87.0,96.0,90.6,1593.0,403.0,35.0,36.0,97.2,44.0,48.0,91.7,7.0,11.0,63.6,0.0,0.3,3.0,5.0,5.0,1.0,10.0,
Jordan Henderson,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,N,CM,15.0,19.0,21.0,90.5,346.0,117.0,9.0,9.0,100.0,9.0,10.0,90.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,
Jordan Henderson,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y*,CM,66.0,40.0,51.0,78.4,647.0,247.0,20.0,24.0,83.3,14.0,17.0,82.4,4.0,6.0,66.7,0.0,0.2,3.0,4.0,3.0,0.0,5.0,
Jordan Henderson,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y*,CM,82.0,43.0,66.0,65.2,853.0,313.0,15.0,19.0,78.9,23.0,35.0,65.7,5.0,11.0,45.5,1.0,0.3,2.0,6.0,2.0,0.0,12.0,
Diogo Jota,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,FW,60.0,8.0,13.0,61.5,97.0,30.0,6.0,9.0,66.7,2.0,4.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
Diogo Jota,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,FW,80.0,18.0,21.0,85.7,344.0,105.0,8.0,10.0,80.0,7.0,8.0,87.5,3.0,3.0,100.0,0.0,0.1,1.0,6.0,1.0,0.0,4.0,
